"filename", "language", "JavaScript", "TypeScript React", "Markdown", "JSON", "Properties", "Objective-C", "C++", "Groovy", "YAML", "Batch", "XML", "Java", "comment", "blank", "total"
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/NotificationsPermissionsSetup.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 77
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/SetupRoot.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/Styles/SetupPages.styles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Styles/Placeholder.styles.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Styles/RootContainer.styles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/marcdertiger/Projects/DistanceNB/App/Env/env.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"/Users/marcdertiger/Projects/DistanceNB/App/Env/env.template.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"/Users/marcdertiger/Projects/DistanceNB/App/I18n/I18n.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 54
"/Users/marcdertiger/Projects/DistanceNB/App/I18n/Languages/en.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"/Users/marcdertiger/Projects/DistanceNB/App/I18n/Languages/fr.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"/Users/marcdertiger/Projects/DistanceNB/App/Model/exposureKey.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/marcdertiger/Projects/DistanceNB/App/Model/oneTimeCode.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/marcdertiger/Projects/DistanceNB/App/Navigation/AppNavigator.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 150
"/Users/marcdertiger/Projects/DistanceNB/App/Redux/Actions/api.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 18, 132
"/Users/marcdertiger/Projects/DistanceNB/App/Redux/Reducers/api.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 106
"/Users/marcdertiger/Projects/DistanceNB/App/Redux/Reducers/index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/marcdertiger/Projects/DistanceNB/App/Redux/store.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/marcdertiger/Projects/DistanceNB/App/RootContainer.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 48
"/Users/marcdertiger/Projects/DistanceNB/App/Themes/ApplicationStyles.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 142
"/Users/marcdertiger/Projects/DistanceNB/App/Themes/Colors.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/marcdertiger/Projects/DistanceNB/App/Themes/Fonts.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"/Users/marcdertiger/Projects/DistanceNB/App/Themes/Images.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"/Users/marcdertiger/Projects/DistanceNB/App/Themes/Metrics.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 43
"/Users/marcdertiger/Projects/DistanceNB/App/Themes/index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/marcdertiger/Projects/DistanceNB/App/Utils/ShareApp.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 40
"/Users/marcdertiger/Projects/DistanceNB/README.md", "Markdown", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 153
"/Users/marcdertiger/Projects/DistanceNB/__tests__/App-test.tsx", "TypeScript React", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"/Users/marcdertiger/Projects/DistanceNB/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 114, 26, 233
"/Users/marcdertiger/Projects/DistanceNB/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
